time_s,target_x_mm,target_y_mm,target_z_mm,achieved_x_mm,achieved_y_mm,achieved_z_mm,position_error_mm,J1_deg,J2_deg,J3_deg,J4_deg,J5_deg,J6_deg,J1_us,J2_us,J3_us,J4_us,J5_us,J6_us
2.8,401.113946839458,104.200613287599,206.180339887499,401.113946839458,104.200613287599,206.180339887499,5.6843418860808e-14,14.5623058987491,78.8427354081685,-115.272145098209,36.4294096900405,0,0,1397.86893258333,2184.02026228273,2333.86774146821,1779.84747918548,1610,1540
2.84,400.872047446916,101.605901581039,205.803100247514,400.872047446916,101.605901581039,205.803100247514,7.65277946916073e-14,14.2227902227624,78.9447528209229,-115.488216327115,36.5434635061922,0,0,1395.35400165009,2184.77594682165,2335.46826908974,1780.69232226809,1610,1540
2.88,400.658310016407,98.9246535084423,205.410264855516,400.658310016407,98.9246535084423,205.410264855516,5.85928550210846e-14,13.8692383699642,79.0410321013455,-115.700849215754,36.6598171144082,0,0,1392.73509903677,2185.48912667663,2337.0433275241,1781.55420084747,1610,1540
2.92,400.471168469101,96.1594005822069,205.002221392609,400.471168469101,96.1594005822069,205.002221392609,8.03887338846093e-14,13.5019992533483,79.131449229033,-115.909844403337,36.7783951743037,0,0,1390.01480928406,2186.15888317802,2338.59144002472,1782.43255684669,1610,1540
2.96,400.309028922249,93.3127150745596,204.579372548428,400.309028922249,93.3127150745596,204.579372548428,1.4210854715202e-14,13.1214352935854,79.2158865857029,-116.11500543806,36.899118852357,0,0,1387.19581698952,2186.78434507928,2340.11115139304,1783.32680631376,1610,1540
3,400.170277370273,90.387209395292,204.142135623731,400.170277370273,90.387209395292,204.142135623731,8.16351451723282e-14,12.7279220613579,79.2942332128834,-116.316138924759,37.0219057118752,0,0,1384.28090415821,2187.3646904658,2341.60102907229,1784.23633860648,1610,1540
3.04,400.053287298865,87.3855354712744,203.690942118574,400.053287298865,87.3855354712744,203.690942118574,6.51223174224333e-14,12.3218479067164,79.3663850639544,-116.513054673903,37.1466696099484,0,0,1381.27294745716,2187.89914862188,2343.05966425113,1785.16051562925,1610,1540
3.08,399.956427209295,84.3103841130301,203.226237306473,399.956427209295,84.3103841130301,203.226237306473,3.17764371615651e-14,11.9036135758257,79.4322452494835,-116.705565852032,37.2733206025481,0,0,1378.17491537649,2188.38700184803,2344.48567297801,1786.09867112999,1610,1540
3.12,399.878068030876,81.1644843546441,202.748479794974,399.878068030876,81.1644843546441,202.748479794974,6.51223174224333e-14,11.4736318154764,79.4917242747618,-116.893489133695,37.4017648589328,0,0,1374.98986529983,2188.82758722046,2345.87769728663,1787.05011006617,1610,1540
3.16,399.816590400249,77.9506027543638,202.25814107306,399.816590400249,77.9506027543638,202.25814107306,1.4210854715202e-14,11.0323269657536,79.5447402684075,-117.076644854935,37.5319045865276,0,0,1371.72094048706,2189.2202982845,2347.23440633285,1788.01410804835,1610,1540
